"","Fecha","CHORRILLOS","ACOBAMBA","MINA.COLQUI"
"169","1/01/1995",0.186248377,120.6977158,227.2005157
"170","1/02/1995",0.084082186,63.02188492,106.2750397
"171","1/03/1995",0.103911988,169.3125,290.550354
"172","1/04/1995",0.180674225,73.79257965,118.1563797
"173","1/05/1995",0.239058837,15.03218937,31.45705414
"174","1/06/1995",0.026113965,0.408138543,1.261015296
"175","1/07/1995",0.392604321,0.819791555,1.570799708
"176","1/08/1995",0.158986464,1.297382951,5.909104824
"177","1/09/1995",0.257817984,12.76973915,41.76412582
"178","1/10/1995",0.039562944,63.97169876,104.0365295
"179","1/11/1995",0,113.9645386,109.740036
"180","1/12/1995",0.084851272,113.0698471,162.4902649
"181","1/01/1996",0.286524534,159.5625458,215.2650146
"182","1/02/1996",0.089429893,192.8073425,202.1878052
"183","1/03/1996",0.057471253,151.1686096,162.3381653
"184","1/04/1996",0,96.52600098,109.1061707
"185","1/05/1996",0.147835523,11.91650295,22.95041847
"186","1/06/1996",0.389664143,0.162053138,0.68420583
"187","1/07/1996",0.066573821,0.157584041,0.232875586
"188","1/08/1996",0.188720539,1.39900887,3.940600634
"189","1/09/1996",0.408161044,6.23972702,16.79071236
"190","1/10/1996",0.051415931,20.68511391,45.90634155
"191","1/11/1996",0,16.31683159,33.78556824
"192","1/12/1996",0.280371398,52.08040237,67.28310394
"193","1/01/1997",0.449313581,126.6146851,175.9667816
"194","1/02/1997",0.028970791,198.7067108,201.0094147
"195","1/03/1997",0.042895313,39.36255264,57.66581726
"196","1/04/1997",0.002469659,33.07145691,52.57291031
"197","1/05/1997",0.100850776,3.590511084,7.728406906
"198","1/06/1997",0.097066022,0.066047683,0.175183967
"199","1/07/1997",0.07912758,0.701111197,2.19430542
"200","1/08/1997",1.491774797,1.766795039,9.511954308
"201","1/09/1997",1.659664392,28.92368889,52.70862198
"202","1/10/1997",0.003089374,32.79720688,65.30877686
"203","1/11/1997",0.805354297,109.8117294,132.4029388
"204","1/12/1997",0.060821764,173.1842651,189.7536621
"205","1/01/1998",1.265639186,314.836853,345.4440002
"206","1/02/1998",1.391692638,198.8251038,161.6762543
"207","1/03/1998",0.067623965,304.5661621,265.3600159
"208","1/04/1998",0.00939036,55.40886688,56.63801956
"209","1/05/1998",0.296823442,0.574944198,0.874791741
"210","1/06/1998",0.292477071,0.247224882,0.68379873
"211","1/07/1998",0.080089033,0.115388945,0.117360368
"212","1/08/1998",0.362032861,1.979182482,9.155716896
"213","1/09/1998",0.237999231,8.708325386,30.95064926
"214","1/10/1998",0,33.62919998,73.39820862
"215","1/11/1998",0,36.50501251,64.84733582
"216","1/12/1998",0.151682511,42.0454216,37.20059204
"217","1/01/1999",0.257970154,174.9465637,227.4571381
"218","1/02/1999",1.595866084,317.7436523,327.5572205
"219","1/03/1999",0.063154645,176.8492126,200.932373
"220","1/04/1999",0,124.068428,138.7797394
"221","1/05/1999",0.175389498,32.30456543,53.67020798
"222","1/06/1999",0.034620192,1.068693638,2.715682745
"223","1/07/1999",0.080888562,0.720975637,2.200993776
"224","1/08/1999",0.156212181,1.726261616,9.331989288
"225","1/09/1999",0.245555088,25.85622978,53.87222672
"226","1/10/1999",0,87.91592407,128.5325012
"227","1/11/1999",0.047996353,67.62592316,105.9711533
"228","1/12/1999",0.1239748,100.2737732,158.5038147
"229","1/01/2000",1.668320894,248.0302734,391.6300354
"230","1/02/2000",0.047320642,240.750824,258.3162842
"231","1/03/2000",0.148691669,215.8648376,275.5679626
"232","1/04/2000",0,97.28240204,100.7853546
"233","1/05/2000",0.161259636,26.82195663,42.75358582
"234","1/06/2000",0.242639855,0.030675942,0.210548893
"235","1/07/2000",0.645694315,1.223256111,3.746325731
"236","1/08/2000",0.628017426,5.612338066,18.72791672
"237","1/09/2000",0.266322076,27.48189354,43.01087189
"238","1/10/2000",0,70.58708954,97.76340485
"239","1/11/2000",0,41.52713776,62.99400711
"240","1/12/2000",0.055042021,189.1915283,288.8916626
"241","1/01/2001",0.269322276,287.9970093,430.6422424
"242","1/02/2001",0.252875358,159.8746948,201.4242096
"243","1/03/2001",0.046877511,298.0407715,421.9373169
"244","1/04/2001",0,90.73738098,92.38014221
"245","1/05/2001",0.13179563,7.438998222,13.28092384
"246","1/06/2001",0.058358427,0.21338886,0.959529161
"247","1/07/2001",0.848826289,0.936817586,3.439873219
"248","1/08/2001",1.029031038,0.63474679,2.396992922
"249","1/09/2001",0.424572736,35.31670761,81.18254089
"250","1/10/2001",0,37.11494827,61.59731293
"251","1/11/2001",0,154.5366516,202.3038177
"252","1/12/2001",0,16.51334953,56.61178589
"253","1/01/2002",0.161129713,61.96012497,132.6524048
"254","1/02/2002",1.051605463,137.2670441,153.5802002
"255","1/03/2002",0.09546072,184.0780792,247.3936768
"256","1/04/2002",0,155.6049347,164.4846191
"257","1/05/2002",0.129267573,10.021245,18.54011726
"258","1/06/2002",0.463396102,1.150556207,2.877619267
"259","1/07/2002",0.109592721,1.141652226,4.553175926
"260","1/08/2002",0.511747956,1.238471985,6.354810715
"261","1/09/2002",0.118776865,27.37920189,54.88384628
"262","1/10/2002",0.005426954,79.51521301,139.9684906
"263","1/11/2002",0,143.2389526,184.4323425
"264","1/12/2002",0.040092811,57.17419815,108.2672119
"265","1/01/2003",0.182793573,147.7189331,206.6080933
"266","1/02/2003",0.1771231,112.2305832,138.0973053
"267","1/03/2003",0.148338154,204.4722595,251.2590485
"268","1/04/2003",0.033389766,64.25137329,91.71988678
"269","1/05/2003",0.138084784,4.76811409,8.31409359
"270","1/06/2003",0.043058019,0.085082717,0.316783011
"271","1/07/2003",0.0964792,0.495401263,1.958389759
"272","1/08/2003",0.132639721,0.861311138,3.015007496
"273","1/09/2003",0.138638943,1.664768219,5.913334846
"274","1/10/2003",0,21.32717896,37.9603157
"275","1/11/2003",0,19.75317192,35.43452072
"276","1/12/2003",0.097163968,168.337265,191.7696991
"277","1/01/2004",0.23478134,42.64140701,45.9641304
"278","1/02/2004",0.022725966,143.5619354,165.1152802
"279","1/03/2004",0.016523557,104.2239914,128.6205139
"280","1/04/2004",0,93.96939087,97.44641876
"281","1/05/2004",0,2.383039713,5.756597996
"282","1/06/2004",0.037365042,0.93505609,3.78760767
"283","1/07/2004",0.116810545,0.702991903,2.479012728
"284","1/08/2004",0.130045652,1.116456747,5.453864574
"285","1/09/2004",0.199772105,20.75917816,54.06253052
"286","1/10/2004",0.016262507,59.88640594,116.6669464
"287","1/11/2004",0.072756521,113.6498718,155.7720795
"288","1/12/2004",0.05658754,119.6817551,192.5956116
"289","1/01/2005",0.15517877,141.6286316,190.9855652
"290","1/02/2005",0.168297052,70.8770752,84.08869934
"291","1/03/2005",2.461357594,148.5062714,176.4914551
"292","1/04/2005",0,52.13067245,62.50276947
"293","1/05/2005",0.111366302,1.637271166,4.572997093
"294","1/06/2005",0.049010046,0,0.070856683
"295","1/07/2005",0.086822279,0.016003313,0.019937353
"296","1/08/2005",0.125190839,0.482204497,2.174212456
"297","1/09/2005",0.829728603,1.159886837,5.611735821
"298","1/10/2005",0.231426194,14.12133789,31.74148369
"299","1/11/2005",0.200733364,18.34031677,47.53479385
"300","1/12/2005",0.010061425,109.6531067,146.427597
"301","1/01/2006",0,164.0185547,227.576004
"302","1/02/2006",0.465956986,157.2958527,153.8125153
"303","1/03/2006",0.066387326,247.0524445,285.1715088
"304","1/04/2006",0,116.3190002,149.6302338
"305","1/05/2006",0.117290758,1.126297355,3.336810589
"306","1/06/2006",0.070567779,0.879179955,2.013539314
"307","1/07/2006",0.740593612,0.087433517,0.097805664
"308","1/08/2006",0.284503192,0.998482823,4.483795643
"309","1/09/2006",0.122177131,12.65448666,33.19247818
"310","1/10/2006",0.025377793,29.76939201,72.14652252
"311","1/11/2006",0,55.94192123,97.76358032
"312","1/12/2006",0.135148391,139.1064606,194.0967712
"313","1/01/2007",0.198603749,209.1233521,267.143158
"314","1/02/2007",0.503393888,107.083786,130.733429
"315","1/03/2007",0.241680428,253.5153961,332.3399048
"316","1/04/2007",0.053762663,101.7573318,141.5852509
"317","1/05/2007",0.173297405,2.742944717,14.94100285
"318","1/06/2007",0.063992165,0,0.016135348
"319","1/07/2007",0.191393614,0.113050394,0.167373598
"320","1/08/2007",0.937564731,0.324865401,0.798340619
"321","1/09/2007",0.212357,3.650197268,24.23359871
"322","1/10/2007",0.008212482,39.61223984,86.71252441
"323","1/11/2007",0.04949579,44.75435257,68.85865784
"324","1/12/2007",0.125567272,53.09374619,89.92756653
"325","1/01/2008",0.723873377,207.1824188,295.0466003
"326","1/02/2008",0.546992838,186.7108612,203.1504364
"327","1/03/2008",0.664756775,148.1161346,150.5548096
